date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:22	535/535	---M--	200	added ('OK')	text/plain	etag:W/%22217-TtzRz3isDMYhZ+YDP9oc6Z2CEpo%22	https://www.melaniedaveid.com/robots.txt		(from )
00:27:24	937895/937895	---MCZ	200	added ('OK')	text/html	etag:W/%226f62f4535bda74b20c3f0f866d4ece71%22	https://www.melaniedaveid.com/	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/www.melaniedaveid.com/index.html	(from )
00:27:24	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.melaniedaveid.com/)
00:27:25	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.melaniedaveid.com/)
00:27:25	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2021%20Jun%202024%2018:57:24%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.melaniedaveid.com/)
00:27:26	2959/2959	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Jun%202024%2018:57:26%20GMT	https://www.melaniedaveid.com/location.href	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/www.melaniedaveid.com/location.3.delayed	(from https://www.melaniedaveid.com/)
00:27:27	565/565	---M--	200	added ('OK')	text/xml	date:Fri,%2021%20Jun%202024%2018:57:26%20GMT	https://www.melaniedaveid.com/blog-feed.xml	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/www.melaniedaveid.com/blog-feed.xml	(from https://www.melaniedaveid.com/)
00:27:27	4478/4478	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2018:57:27%20GMT	https://static.wixstatic.com/media/30d9fa_f3aa840040244c9085b433e105c063a1~mv2.png/v1/fill/w_49,h_29,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/bg-pixels.png	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_f3aa840040244c9085b433e105c063a1_mv2.png/v1/fill/w_49,h_29,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/bg-pixels.png	(from https://www.melaniedaveid.com/)
00:27:27	3514/3514	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2018:57:27%20GMT	https://static.wixstatic.com/media/30d9fa_dc1c945c1c9a45c4a5b1d0baa68a5281~mv2.png/v1/fill/w_49,h_69,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/30d9fa_dc1c945c1c9a45c4a5b1d0baa68a5281~mv2.png	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_dc1c945c1c9a45c4a5b1d0baa68a5281_mv2.png/v1/fill/w_49,h_69,al_c,q_85,usm_0.66_1.00_0.01,blur_2,e/30d9fa_dc1c945c1c9a45c4a5b1d0baa68a5281_mv2.6.dela	(from https://www.melaniedaveid.com/)
00:27:27	1181/1181	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2018:57:27%20GMT	https://static.wixstatic.com/media/30d9fa_35b9ab38abbc43399599d0f8d01f344df000.jpg/v1/fill/w_100,h_56,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/30d9fa_35b9ab38abbc43399599d0f8d01f344df000.jpg	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_35b9ab38abbc43399599d0f8d01f344df000.jpg/v1/fill/w_100,h_56,al_c,q_80,usm_0.66_1.00_0.01,blur_3,/30d9fa_35b9ab38abbc43399599d0f8d01f344df000.7.dela	(from https://www.melaniedaveid.com/)
00:27:27	13252/13252	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2018:57:27%20GMT	https://static.wixstatic.com/media/30d9fa_e001594f68de4c159f9a199bd964a192~mv2.png/v1/fill/w_100,h_71,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/30d9fa_e001594f68de4c159f9a199bd964a192~mv2.png	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_e001594f68de4c159f9a199bd964a192_mv2.png/v1/fill/w_100,h_71,al_c,q_85,usm_0.66_1.00_0.01,blur_3,/30d9fa_e001594f68de4c159f9a199bd964a192_mv2.5.dela	(from https://www.melaniedaveid.com/)
00:27:28	4190/4190	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2018:57:27%20GMT	https://static.wixstatic.com/media/30d9fa_203d8520fac648429c7c647c094510af~mv2.png/v1/fill/w_49,h_69,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/bento-letters-o.png	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_203d8520fac648429c7c647c094510af_mv2.png/v1/fill/w_49,h_69,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/bento-letters-o.png	(from https://www.melaniedaveid.com/)
00:27:28	3491/3491	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2018:57:28%20GMT	https://static.wixstatic.com/media/30d9fa_07966d04fcaa4f73a5d65f8b2fe14b2f~mv2.jpg/v1/fill/w_147,h_72,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/future-ai-me-b.jpg	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_07966d04fcaa4f73a5d65f8b2fe14b2f_mv2.jpg/v1/fill/w_147,h_72,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/future-ai-me-b.jpg	(from https://www.melaniedaveid.com/)
00:27:28	2988/2988	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2018:57:28%20GMT	https://static.wixstatic.com/media/30d9fa_0485d9a98c7e443ebc64de47bc4d9a96f000.jpg/v1/fill/w_160,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/30d9fa_0485d9a98c7e443ebc64de47bc4d9a96f000.jpg	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_0485d9a98c7e443ebc64de47bc4d9a96f000.jpg/v1/fill/w_160,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,/30d9fa_0485d9a98c7e443ebc64de47bc4d9a96f000.a.dela	(from https://www.melaniedaveid.com/)
00:27:29	3645/3645	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2018:57:28%20GMT	https://static.wixstatic.com/media/30d9fa_e0aeb3f177fe4a69a1aeebefd44d129e~mv2.jpg/v1/fill/w_147,h_72,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/future-ai-me-a1.jpg	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_e0aeb3f177fe4a69a1aeebefd44d129e_mv2.jpg/v1/fill/w_147,h_72,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/future-ai-me-a1.jpg	(from https://www.melaniedaveid.com/)
00:27:29	4106/4106	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2018:57:29%20GMT	https://static.wixstatic.com/media/30d9fa_f3aa840040244c9085b433e105c063a1~mv2.png/v1/crop/x_72,y_0,w_1291,h_860/fill/w_44,h_29,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/bg-pixels.png	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_f3aa840040244c9085b433e105c063a1_mv2.png/v1/crop/x_72,y_0,w_1291,h_860/fill/w_44,h_29,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/bg-pixels.png	(from https://www.melaniedaveid.com/)
00:27:29	1789/1789	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2018:57:29%20GMT	https://static.wixstatic.com/media/30d9fa_21ecf81bb3c24b23b2c4baa7fb315409f000.jpg/v1/fill/w_51,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/30d9fa_21ecf81bb3c24b23b2c4baa7fb315409f000.jpg	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_21ecf81bb3c24b23b2c4baa7fb315409f000.jpg/v1/fill/w_51,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,e/30d9fa_21ecf81bb3c24b23b2c4baa7fb315409f000.d.dela	(from https://www.melaniedaveid.com/)
00:27:30	20690/20690	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2018:57:29%20GMT	https://static.wixstatic.com/media/30d9fa_e001594f68de4c159f9a199bd964a192~mv2.png/v1/fill/w_127,h_90,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/30d9fa_e001594f68de4c159f9a199bd964a192~mv2.png	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_e001594f68de4c159f9a199bd964a192_mv2.png/v1/fill/w_127,h_90,al_c,q_85,usm_0.66_1.00_0.01,blur_3,/30d9fa_e001594f68de4c159f9a199bd964a192_mv2.e.dela	(from https://www.melaniedaveid.com/)
00:27:30	4089/4089	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2018:57:29%20GMT	https://static.wixstatic.com/media/30d9fa_f3aa840040244c9085b433e105c063a1~mv2.png/v1/crop/x_75,y_0,w_1291,h_860/fill/w_44,h_29,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/bg-pixels.png	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_f3aa840040244c9085b433e105c063a1_mv2.png/v1/crop/x_75,y_0,w_1291,h_860/fill/w_44,h_29,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/bg-pixels.png	(from https://www.melaniedaveid.com/)
00:27:30	1030/1030	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2018:57:30%20GMT	https://static.wixstatic.com/media/30d9fa_729d99869d144e7e9c683d64d7be9192f000.jpg/v1/fill/w_51,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/30d9fa_729d99869d144e7e9c683d64d7be9192f000.jpg	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_729d99869d144e7e9c683d64d7be9192f000.jpg/v1/fill/w_51,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,e/30d9fa_729d99869d144e7e9c683d64d7be9192f000.10.del	(from https://www.melaniedaveid.com/)
00:27:30	13512/13512	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2018:57:30%20GMT	https://static.wixstatic.com/media/30d9fa_cf8c9e17685041daad1fcb5c75597bdb~mv2.png/v1/fill/w_103,h_125,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Asset%2014.png	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_cf8c9e17685041daad1fcb5c75597bdb_mv2.png/v1/fill/w_103,h_125,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Asset%2014.png	(from https://www.melaniedaveid.com/)
00:27:31	2204/2204	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2018:57:30%20GMT	https://static.wixstatic.com/media/30d9fa_3e112b0a81bc452ebb205da0fa84acb9~mv2.png/v1/crop/x_573,y_9,w_935,h_1061/fill/w_24,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/sentient.png	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_3e112b0a81bc452ebb205da0fa84acb9_mv2.png/v1/crop/x_573,y_9,w_935,h_1061/fill/w_24,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/sentient.png	(from https://www.melaniedaveid.com/)
00:27:31	14261/14261	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2018:57:31%20GMT	https://static.wixstatic.com/media/30d9fa_ebe143180701496b9a430ab640f54af4~mv2.png/v1/crop/x_0,y_9,w_373,h_464/fill/w_96,h_119,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Asset%2013.png	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_ebe143180701496b9a430ab640f54af4_mv2.png/v1/crop/x_0,y_9,w_373,h_464/fill/w_96,h_119,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Asset%2013.png	(from https://www.melaniedaveid.com/)
00:27:31	1017/1017	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2018:57:31%20GMT	https://static.wixstatic.com/media/30d9fa_7d8ffc8ecbd342faa9efdc14fdbe1d47f000.jpg/v1/fill/w_74,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/30d9fa_7d8ffc8ecbd342faa9efdc14fdbe1d47f000.jpg	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_7d8ffc8ecbd342faa9efdc14fdbe1d47f000.jpg/v1/fill/w_74,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,e/30d9fa_7d8ffc8ecbd342faa9efdc14fdbe1d47f000.14.del	(from https://www.melaniedaveid.com/)
00:27:32	5234/5234	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2018:57:31%20GMT	https://static.wixstatic.com/media/30d9fa_81e6c8f5fca44d8caed44718d3b82e59~mv2.png/v1/fill/w_49,h_33,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/45_2023_03_23___ADOBE%20OFFF.png	C:/Users/Nitin/Akanksha/Project/SA_Graphics/my_peoject/static.wixstatic.com/media/30d9fa_81e6c8f5fca44d8caed44718d3b82e59_mv2.png/v1/fill/w_49,h_33,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/45_2023_03_23___ADOBE%20OFFF.png	(from https://www.melaniedaveid.com/)
